movieId,tmdbId,id,title,genres,original_language,popularity,overview,short_overview
21,8012,8012,Get Shorty,"['Comedy', 'Thriller', 'Crime']",en,12.669608,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Miami mobster Chili Palmer discovers Hollywood's similarities to organized crime.
25,451,451,Leaving Las Vegas,"['Drama', 'Romance']",en,10.332025,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Alcoholic screenwriter meets prostitute in Las Vegas; forms uneasy friendship.
27,9263,9263,Now and Then,"['Comedy', 'Drama', 'Family']",en,8.681325,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",Four childhood friends reflect on their bittersweet coming-of-age summer.
29,902,902,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",fr,9.822423,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Scientist kidnaps children for dreams, seeking to slow aging."
30,37557,37557,Shanghai Triad,"['Drama', 'Crime']",zh,1.100915,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Provincial boy serves ganglord's mistress in 1930s Shanghai crime family.
31,9909,9909,Dangerous Minds,"['Drama', 'Crime']",en,9.481338,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",Former Marine teacher transforms underachieving teens with tough love.
32,63,63,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",en,12.297305,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",James Cole time travels to uncover a deadly virus's origin.
33,78802,78802,Wings of Courage,"['Romance', 'Adventure']",fr,0.745542,,Please provide the overview you'd like summarized into 10 words.
35,47018,47018,Carrington,"['History', 'Drama', 'Romance']",en,1.493361,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",Dora Carrington and Lytton Strachey navigate a complex platonic relationship.
37,139405,139405,Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']",en,0.114469,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.","Boy explores New York, tracing ancestor through 3D photographs."
39,9603,9603,Clueless,"['Comedy', 'Drama', 'Romance']",en,9.882383,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","Cher, a popular matchmaker, learns lessons about love and identity."
42,11443,11443,Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",en,9.87957,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",Heist of retired bills highlights Black Americans' Vietnam War disillusionment.
44,9312,9312,Mortal Kombat,"['Action', 'Fantasy']",en,10.870138,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Three warriors must defeat an evil sorcerer to save Earth.
46,11861,11861,How To Make An American Quilt,"['Drama', 'Romance']",en,4.485958,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","Finn doubts her fiancé's fidelity; visits grandmother, learns life lessons."
49,8391,8391,When Night Is Falling,"['Drama', 'Romance']",en,3.302524,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",Prudish professor falls for free-spirited carnival worker in town.
50,629,629,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",en,16.302466,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Verbal Kint tells feds about mythic crime lord Keyser Soze.
52,11448,11448,Mighty Aphrodite,"['Comedy', 'Romance']",en,15.899134,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","Father seeks son's mother, aiming to reform her lifestyle."
53,49133,49133,Lamerica,"['Drama', 'Foreign']",it,1.361286,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.","Conman and apprentice exploit Albania, uncovering tragedy and poverty."
54,26441,26441,The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",en,5.982764,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",British teacher inspires depressed Texas kids through soccer and teamwork.
56,124057,124057,Kids of the Round Table,[],en,0.307075,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",Alex discovers Excalibur and must prove his worthiness.
58,11010,11010,The Postman,"['Comedy', 'Drama', 'Romance']",it,10.168437,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"Italian postman discovers poetry, impresses Beatrice while delivering mail."
60,11359,11359,The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",en,10.673296,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,"Boy's birthday gift comes alive, sparking adventurous friendship."
62,2054,2054,Mr. Holland's Opus,"['Music', 'Drama', 'Family']",en,7.137117,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Musician becomes teacher, inspires students while pursuing his true passion."
63,10607,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],en,11.700115,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",Ashtray navigates gang life while living with eccentric family.
65,9536,9536,Bio-Dome,['Comedy'],en,6.387469,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",Two apathetic friends inadvertently join a year-long environmental experiment.
66,11525,11525,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']",en,2.49535,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","Jonathan revives Jobe to create a global network, teens intervene."
67,40628,40628,Two Bits,"['Drama', 'Family']",en,4.046208,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",Gennaro seeks grandpa's quarter for movies amid unfinished business.
70,755,755,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",en,15.339153,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","Brothers escape to Mexico after robbery, facing dangers overnight."
72,28387,28387,Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",en,3.367276,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",Grover stays behind while girlfriend Jane moves to Prague.
75,36929,36929,Big Bully,"['Comedy', 'Family']",en,2.936443,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.","Writer confronts childhood bully, reliving past pain and torment."
77,124626,124626,Nico Icon,['Documentary'],en,0.133893,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.","Nico's life: supermodel, diva, junkie, and ultimately, unfulfilled."
78,27526,27526,The Crossing Guard,"['Drama', 'Thriller']",en,5.756462,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",Freddy seeks vengeance; Booth seeks redemption before their fateful encounter.
79,9623,9623,The Juror,"['Drama', 'Thriller']",en,6.010579,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",Mobster threatens juror; she seeks evidence to protect son.
80,46785,46785,The White Balloon,"['Family', 'Drama']",fa,1.196256,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,People exploit a girl's innocence to steal her money.
82,880,880,Antonia's Line,"['Drama', 'Comedy']",nl,2.030174,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.","Antonia returns home, building a strong community of empowered women."
83,146599,146599,Once Upon a Time... When We Were Colored,"['Romance', 'Drama']",en,0.252287,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.","Afro-American community faces oppression, unity, joy, and pivotal decisions."
84,188588,188588,Last Summer in the Hamptons,[],en,0.531159,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",Theatrical family confronts secrets during summer retreat's last weekend.
85,8447,8447,Angels and Insects,"['Drama', 'Romance']",en,2.15166,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",Wealthy patriarch's daughter seduces impoverished biologist amidst dark secrets.
86,10534,10534,White Squall,"['Action', 'Drama']",en,9.568604,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Teenage boys find discipline and friendship during a troubled sailing trip.
87,17414,17414,Dunston Checks In,"['Adventure', 'Comedy', 'Family']",en,4.814825,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",Hotel manager faces hijinks with a jewel thief and orangutan.
90,61548,61548,The Journey of August King,['Drama'],en,0.411424,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",August King faces a moral dilemma helping a runaway slave.
92,9095,9095,Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",en,12.866139,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.","Housemaid loves Dr. Jekyll and his mysterious alter ego, Hyde."
93,12158,12158,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",en,9.071127,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",Vampire seeks detective's help to survive past full moon.
96,40154,40154,A Midwinter's Tale,['Comedy'],en,0.513391,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",Actor Joe stages Hamlet to save his sister's church.
99,63076,63076,Heidi Fleiss: Hollywood Madam,['Documentary'],en,0.638211,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",BBC crew interviews Heidi Fleiss amid conflicting views from others.
100,11062,11062,City Hall,"['Drama', 'Thriller']",en,4.807223,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.","Accidental shooting sparks investigation, leading to unexpected consequences."
102,47475,47475,Mr. Wrong,"['Comedy', 'Romance']",en,3.329264,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.","Lonely woman dates perfect man, discovers his dangerous dual personality."
104,9614,9614,Happy Gilmore,['Comedy'],en,9.592265,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",Failed hockey player Happy Gilmore seeks golf victory to save granny.
105,688,688,The Bridges of Madison County,"['Drama', 'Romance']",en,5.951077,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Photographer Robert Kincaid and housewife Francesca Johnson share four days.
106,11907,11907,Nobody Loves Me,"['Drama', 'Comedy', 'Family']",de,1.015068,No overview found.,No overview available. Please provide details for summarization.
107,10874,10874,Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",en,6.902423,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",Jim and friends seek treasure but face betrayal at sea.
112,33542,33542,Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']",cn,12.314278,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.","Keong visits New York, helps uncle, fights thugs, befriends neighbor."
114,71754,71754,Margaret's Museum,['Drama'],en,0.372697,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever.",Single woman meets charming man; pit tragedy looms over them.
116,51352,51352,Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']",en,0.243986,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift",Documentary reveals Anne Frank's life using archival material and interviews.
117,16934,16934,The Young Poisoner's Handbook,"['Comedy', 'Crime', 'Drama']",en,6.178497,"A sinister tale of genius gone wrong, The Young Poisoner's Handbook chronicles a young man's descent into madness against the absurd backdrop of suburban English life. Hugh O'Conor plays Graham Young, a schoolboy from the London suburbs whose deadly obsession with toxic substances causes him to dabble in experimental murder.",Young man's toxic obsession leads to madness and experimental murder.
118,10324,10324,If Lucy Fell,"['Comedy', 'Romance']",en,2.891918,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge.",Roommates Joe and Lucy make a risky pact about love.
121,32119,32119,The Boys of St. Vincent,['Drama'],en,0.86539,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,Boys sexually abused at Newfoundland orphanage run by religious community.
123,11104,11104,Chungking Express,"['Drama', 'Comedy', 'Romance']",cn,6.778979,"Every day, Cop 223 buys a can of pineapple with an expiration date of May 1, symbolizing the day he'll get over his lost love. He's also got his eye on a mysterious woman in a blond wig, oblivious of the fact she's a drug dealer. Cop 663 is distraught with heartbreak over a breakup. But when his ex drops a spare set of his keys at a local cafe, a waitress lets herself into his apartment and spruces up his life.","Two cops navigate heartbreak, love, and unexpected connections daily."
126,27793,27793,The Neverending Story III: Escape from Fantasia,['Fantasy'],en,6.252377,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,Boy restores order after bullies steal magical portal book.
128,290157,290157,Jupiter's Wife,[],en,0.001178,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and attempts to use her often outlandish stories as clues to reconstruct her past.
 - Written by James Meek",Filmmaker Michel explores Maggie's eccentric stories to uncover her past.
131,73067,73067,Frankie Starlight,"['Drama', 'Romance', 'War']",it,0.637554,The quirky story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.,A boy navigates adventures with his beautiful mother and admirers.
134,124636,124636,Sonic Outlaws,"['Music', 'Documentary']",en,0.001838,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock music.  Craig ""Tribulation 99"" Baldwin follows this and other intellectual property controversies across the contemporary arts scene. Playful and ironic, his cut-and-paste collage-essay surveys the prospects for an ""electronic folk culture"" in the midst of an increasingly commodified corporate media landscape.",Negativland's parody sparks legal battle over intellectual property rights.
135,9101,9101,Down Periscope,['Comedy'],en,5.184977,"Bumbling Navy lieutenant Tom Dodge has been given one last chance to clean up his record. But Admiral Graham, his nemesis, assigns Dodge to the Stingray, a submarine that can barely keep afloat. To add insult to injury, the Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more incompetent that he is!",Incompetent lieutenant Dodge faces challenges with a dysfunctional submarine crew.
